No,Timestamp,Date,Time,Power (W),Energy (kWh),Hourly Cost (৳)
61,Fri Nov 21 2025 21:34:26 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:26,32.9,0.7095,0.31
62,Fri Nov 21 2025 21:34:24 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:24,32.9,0.7095,0.31
63,Fri Nov 21 2025 21:34:21 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:21,32.9,0.7095,0.31
64,Fri Nov 21 2025 21:34:20 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:20,32.9,0.7095,0.31
65,Fri Nov 21 2025 21:34:17 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:17,32.9,0.7095,0.31
66,Fri Nov 21 2025 21:34:16 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:16,32.9,0.7095,0.31
67,Fri Nov 21 2025 21:34:13 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:13,32.9,0.7095,0.31
68,Fri Nov 21 2025 21:34:11 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:11,32.9,0.7095,0.31
69,Fri Nov 21 2025 21:34:10 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:10,32.9,0.7095,0.31
70,Fri Nov 21 2025 21:34:07 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:07,32.9,0.7095,0.31
71,Fri Nov 21 2025 21:34:06 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:06,32.9,0.7095,0.31
72,Fri Nov 21 2025 21:34:03 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:03,32.9,0.7095,0.31
73,Fri Nov 21 2025 21:34:01 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:01,32.9,0.7095,0.31
74,Fri Nov 21 2025 21:33:59 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:59,32.9,0.709,0.31
75,Fri Nov 21 2025 21:33:56 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:56,32.9,0.709,0.31
76,Fri Nov 21 2025 21:33:56 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:56,32.9,0.709,0.31
77,Fri Nov 21 2025 21:33:53 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:53,32.9,0.709,0.31
78,Fri Nov 21 2025 21:33:51 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:51,32.9,0.709,0.31
79,Fri Nov 21 2025 21:33:49 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:49,32.9,0.709,0.31
80,Fri Nov 21 2025 21:33:46 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:46,32.9,0.709,0.31
81,Fri Nov 21 2025 21:33:46 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:46,32.9,0.709,0.31
82,Fri Nov 21 2025 21:33:43 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:43,32.9,0.709,0.31
83,Fri Nov 21 2025 21:33:41 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:41,32.9,0.709,0.31
84,Fri Nov 21 2025 21:33:39 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:39,32.9,0.709,0.31
85,Fri Nov 21 2025 21:33:36 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:36,32.9,0.709,0.31
86,Fri Nov 21 2025 21:33:36 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:36,32.9,0.709,0.31
87,Fri Nov 21 2025 21:33:32 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:32,32.9,0.709,0.31
88,Fri Nov 21 2025 21:33:31 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:31,32.9,0.709,0.31
89,Fri Nov 21 2025 21:33:29 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:29,32.9,0.709,0.31
90,Fri Nov 21 2025 21:33:26 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:26,32.9,0.709,0.31
91,Fri Nov 21 2025 21:33:25 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:25,32.9,0.709,0.31
92,Fri Nov 21 2025 21:33:22 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:22,32.9,0.709,0.31
93,Fri Nov 21 2025 21:33:21 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:21,32.9,0.709,0.31
94,Fri Nov 21 2025 21:33:18 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:18,32.9,0.709,0.31
95,Fri Nov 21 2025 21:33:16 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:16,32.9,0.709,0.31
96,Fri Nov 21 2025 21:33:15 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:15,32.9,0.709,0.31
97,Fri Nov 21 2025 21:33:12 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:12,32.9,0.709,0.31
98,Fri Nov 21 2025 21:33:11 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:11,32.9,0.709,0.31
99,Fri Nov 21 2025 21:33:08 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:08,32.9,0.709,0.31
100,Fri Nov 21 2025 21:33:06 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:33:06,32.9,0.709,0.31
